start_station_name,member_casual,number_of_rides
Public Rack - Pulaski Rd & Fullerton Ave,casual,23
Stony Island Ave & 82nd St,member,23
Altgeld Gardens,casual,24
Artesian Ave & Marquette Rd,casual,24
California Ave & 29th St,casual,24
Central Ave & Wellington Ave,member,24
Indiana Ave & 133rd St,casual,24
Lamon Ave & Chicago Ave,member,24
Public Rack - Bishop St & 46th St,member,24
Public Rack - Cicero Ave & Altgeld St,member,24
Public Rack - Cicero Ave & Roscoe St,member,24
Public Rack - Karlov Ave & Lawrence Ave,member,24
Public Rack - Keystone Ave & North Ave,member,24
Public Rack - Laramie Ave & Belmont Ave,casual,24
Public Rack - Nordica & Archer,member,24
Public Rack - Oketo Ave & Belmont Ave,member,24
Racine Ave & 65th St,casual,24
Shabbona Park,member,24
Tripp Ave & 15th St,casual,24
Wabash Ave & 83rd St,member,24
Avenue O & 118th St,member,25
Central Park Ave & Ardmore Ave,casual,25
Grace St & Cicero Ave,member,25
Halsted St & 59th St,casual,25
Homan Ave & Fillmore St,member,25
Lawndale Ave & 111th St,member,25
Leclaire Ave & Belmont Ave,casual,25
Loomis Blvd & 84th St,member,25
North Ave & New England Ave,member,25
Public Rack - Central & Leland,member,25
Public Rack - Cicero Ave & Roscoe St,casual,25
Public Rack - Keating & Peterson,member,25
Public Rack - Michigan Ave & 96th St,casual,25
Public Rack - Norwood Park Station,member,25
Public Rack - Olmstead Ave & Oliphant Ave,casual,25
Public Rack - State ST & 42nd St,member,25
S Aberdeen St & W 106th St,casual,25
Avenue L & 114th St,casual,26
Central Ave & Harrison St,member,26
Narragansett Ave & Wrightwood Ave,casual,26
Nordica & Medill,member,26
Oglesby Ave & 100th St,casual,26
Public Rack - Elston Ave & Kenneth Ave,casual,26
Public Rack - Karlov Ave & Lawrence Ave,casual,26
Public Rack - Karlov Ave & Milwaukee Ave,casual,26
Public Rack - Leamington & Elston,casual,26
Public Rack - S Menard & W 63rd,casual,26
Public Rack - Springfield Ave & Lawrence Ave,member,26
Public Rack - Western Ave & 110th St,member,26
Tripp Ave & 15th St,member,26
Troy St & Jackson Blvd,casual,26
Bernard St & Peterson Ave,casual,27
Kedzie Ave & 52nd St,member,27
Kildare Ave & North Ave,casual,27
Kostner Ave & Belmont Ave,member,27
Phillips Ave & 83rd St,casual,27
Public Rack - Christiana & Lincoln,casual,27
Public Rack - Forrestville Ave & 47th St,member,27
Public Rack - Kedzie Ave & Chicago Ave,member,27
Public Rack - Normal Ave & 111th St,casual,27
Public Rack - Western & 83rd,member,27
S Michigan Ave & E 118th St,casual,27
Scottsdale Park,casual,27
Stewart Ave & 83rd St,member,27
Stony Island Ave & 90th St,casual,27
Bernard St & Peterson Ave,member,28
Damen Ave & 81st St,member,28
Halsted St & 59th St,member,28
Halsted St & 73rd St,member,28
Kostner Ave & Adams St,casual,28
Latrobe Ave & Chicago Ave,casual,28
Lavergne Ave & 46th St,casual,28
Public Rack - Champlain Ave & 65th St,casual,28
Public Rack - Pulaski Rd & Fullerton Ave,member,28
Rockwell St & Archer Ave,member,28
Sacramento Ave & Lunt Ave,casual,28
Sacramento Ave & Lunt Ave,member,28
Ellis Ave & 83rd St,member,29
Michigan Ave & 114th St,casual,29
Phillips Ave & 83rd St,member,29
Public Rack - California Ave & Devon Ave - NW,member,29
Public Rack - Irving Park Rd & Leclaire Ave,casual,29
Public Rack - Neva Ave & Grand Ave,casual,29
Public Rack - Nordica & Archer,casual,29
Public Rack - Sawyer Ave & Lawrence Ave,member,29
Public Rack - Throop St & 58th St,casual,29
Seeley Ave & Garfield Blvd,member,29
Kedzie Ave & 83rd St,casual,30
Public Rack - California Ave & Touhy Ave - NW,member,30
Public Rack - Karlov Ave & Kamerling Ave,member,30
Public Rack - Keystone Ave & Irving Park Rd,casual,30
Public Rack - Laramie Ave & Grand Ave,member,30
Public Rack - Menard Ave & Belmont Ave,member,30
Public Rack - Milwaukee Ave & Lawrence Ave,member,30
Public Rack - Rockwell Ave & Touhy Ave,casual,30
Sacramento Ave & Pratt Blvd,casual,30
St Louis Ave & Norman Bobbins Pl,casual,30
Ashland Ave & Garfield Blvd,member,31
Eberhart Ave & 91st St,member,31
Laramie Ave & Irving Park Rd,casual,31
Major Taylor Trail & 115th St,member,31
Oglesby Ave & 100th St,member,31
Public Rack - Cicero Ave & Wrightwood Ave,casual,31
Public Rack - Evans Ave & 63rd St,member,31
Public Rack - Hiawatha & Mendota,casual,31
Public Rack - Milwaukee Ave & Catalpa Ave,casual,31
Public Rack - Minuteman Park,casual,31
Public Rack - Western & 79th,casual,31
S Wentworth Ave & W 111th St,casual,31
California Ave & 36th St,member,32
Damen Ave & 74th St,casual,32
Kedzie Ave & 45th St,casual,32
Loomis St & 89th St,casual,32
Menard Ave & North Ave,casual,32
Parkside Ave & Armitage Ave,casual,32
Public Rack - Central Ave & Lawrence Ave,member,32
Public Rack - Cicero Ave & North Ave,member,32
Public Rack - Kedzie Ave & Archer Ave,casual,32
Public Rack - Kimball Ave & Lawrence Ave,casual,32
Public Rack - Kinzua Ave & Devon Ave,member,32
Public Rack - Penn Elementary School / KIPP Ascend Middle School,member,32
Public Rack - St Louis Ave & Berteau Ave,casual,32
Sacramento Blvd & Polk St,casual,32
Troy St & Jackson Blvd,member,32
Washtenaw Ave & Madison St,casual,32
Ashland Ave & 74th St,casual,33
Clyde Ave & 87th St,member,33
Damen Ave & 87th St,casual,33
Marshfield Ave & 59th St,member,33
Monticello Ave & Chicago Ave,member,33
Public Rack - Fullerton Ave & Narragansett Ave,casual,33
Public Rack - Kostner & Peterson,member,33
Public Rack - Laramie Ave & Belmont Ave,member,33
Vernon Ave & 79th St,casual,33
Wabash Ave & 83rd St,casual,33
Albany Ave & 16th St,member,34
Cottage Grove Ave & 111th Pl,member,34
Cottage Grove Ave & 78th St,member,34
Elizabeth St & 92nd St,casual,34
Halsted St & 56th St,casual,34
Kildare Ave & Division St,member,34
Kostner Ave & Belmont Ave,casual,34
Kostner Ave & Bryn Mawr Ave,member,34
Public Rack - Central Ave & Pensacola Ave,casual,34
Public Rack - Sacramento Ave & Devon Ave,casual,34
Yates Blvd & 93rd St,casual,34
Bennett Ave & 79th St,casual,35
California Ave & 71st St,casual,35
California Ave & Touhy Ave,casual,35
Cottage Grove Ave & 71st St,member,35
Jeffery Blvd & 76th St,member,35
Lavergne & Fullerton,member,35
Marmora Ave & Irving Park Rd,casual,35
Public Rack - Brandon Ave & 91st St,member,35
Public Rack - Campbell Ave & Pratt Blvd,casual,35
Public Rack - Columbus & 79th,casual,35
Public Rack - Lowell Ave & Elston Ave,member,35
Public Rack - Martin Luther King Dr & 44th St,casual,35
Public Rack - N. Oakview and W. Gregory St,casual,35
State St & 76th St,member,35
Buckingham - Fountain,member,36
Ewing Ave & Burnham Greenway,casual,36
Major Taylor Trail & 124th St,casual,36
Menard Ave & Division St,casual,36
Public Rack - 4810 Keeler Ave,member,36
Public Rack - Austin Ave & Wrightwood Ave,member,36
Public Rack - Kimball & Ardmore,member,36
Public Rack - Kimball Ave & Lawrence Ave,member,36
Public Rack - Mobile Ave & Archer Ave,casual,36
Public Rack - Parkside & Archer,casual,36
Public Rack - Springfield Ave & Lawrence Ave,casual,36
California Ave & 71st St,member,37
Cicero Ave & Roscoe Ave,casual,37
Public Rack - California Ave & Touhy Ave - NW,casual,37
Public Rack - Martin Luther King Dr & 44th St,member,37
Public Rack - Milwaukee Ave & Addison St,casual,37
Public Rack - Milwaukee Ave & Culyer Ave,casual,37
St Louis Ave & Norman Bobbins Ave,member,37
St. Louis & 71st St,casual,37
Ashland Ave & 74th St,member,38
Cicero Ave & Roscoe Ave,member,38
Dan Ryan Woods & 83rd St,casual,38
Eberhart Ave & 91st St,casual,38
Keeler Ave & Roosevelt Rd,casual,38
MLK Jr Dr & 83rd St,casual,38
Public Rack - Nashotah & Northwest Hwy,casual,38
Stony Island Ave & South Chicago Ave,casual,38
Ashland Ave & 66th St,casual,39
California Ave & Touhy Ave,member,39
Calumet Park,member,39
Kenton Ave & Madison St,casual,39
Public Rack - Fullerton Ave & Narragansett Ave,member,39
Public Rack - Kilpatrick & Elston,member,39
Public Rack - Milwaukee Ave & Kennedy Expy,casual,39
Public Rack - Pulaski Rd & 44th St,casual,39
Public Rack - S. New England/ W. 65th,casual,39
Public Rack - Sawyer Ave & Lawrence Ave,casual,39
Public Rack - Western Ave & Devon Ave,casual,39
Seeley Ave & Garfield Blvd,casual,39
Artesian Ave & 55th St,member,40
Cicero Ave & Quincy St,casual,40
Damen Ave & 33rd St,casual,40
Damen Ave & 59th St,member,40
East End Ave & 87th St,casual,40
Halsted St & 104th St,casual,40
Kilbourn Ave & Belden Ave,casual,40
Mayfield & Roosevelt Rd,casual,40
Public Rack - Halsted St & 95th St - SE,member,40
Pulaski Rd & 21st St,member,40
Richmond St & 59th St,member,40
Spaulding Ave & 16th St,casual,40
Vincennes Ave & 75th St,casual,40
Whipple St & Roosevelt Rd,casual,40
Woodlawn Ave & 75th St,member,40
Ashland Ave & 78th St,member,41
Cottage Grove Ave & 78th St,casual,41
Elizabeth St & 47th St,member,41
Homan Ave & Fillmore St,casual,41
Public Rack - Calumet Ave & 51st St,casual,41
Public Rack - Lavergne & Lawrence,casual,41
Stony Island Ave & 82nd St,casual,41
Elizabeth St & 92nd St,member,42
Fairfield Ave & Pratt Blvd,member,42
Lavergne Ave & Fullerton Ave,member,42
Lowell Ave & Armitage,member,42
Mason Ave & Belmont Ave,member,42
Public Rack - Laramine Ave & Winnemac Ave,casual,42
Tripp Ave & 31st St,casual,42
Whipple St & Roosevelt Rd,member,42
Burnham Greenway & 105th St,member,43
Long Ave & North Ave,casual,43
Lowell Ave & Armitage,casual,43
Public Rack - Parkside & Archer,member,43
Public Rack - Pulaski Rd & 44th St,member,43
Rainbow - Beach,casual,43
Ashland Ave & 66th St,member,44
Avenue O & 118th St,casual,44
Central Ave & Madison St,member,44
Elizabeth St & 59th St,casual,44
Laramie Ave & Kinzie St,member,44
Mozart St & Jackson Blvd,casual,44
Public Rack - California Ave & Devon Ave - NE,casual,44
Public Rack - Harper Ave & 63rd St,member,44
Public Rack - Kedzie Ave & Argyle St,casual,44
Public Rack - Nagle Ave & Belmont Ave,casual,44
Public Rack - Washington Park Ct & 51st St,member,44
Damen Ave & 51st St,member,45
Harding Ave & 26th St,member,45
Public Rack - Jensen Park,member,45
Public Rack - Nashotah & Northwest Hwy,member,45
Public Rack - Racine Ave & 109th Pl,casual,45
Springfield Ave & 71st St,casual,45
Cicero Ave & Wrightwood Ave,member,46
Elizabeth St & 47th St,casual,46
Francisco Ave & Hollywood Ave,member,46
Harding Ave & 26th St,casual,46
Leamington Ave & Hirsch St,casual,46
Major Taylor Trail & 115th St,casual,46
Public Rack - 56th St & Mulligan Ave,casual,46
Artesian Ave & 55th St,casual,47
Austin Blvd & Chicago Ave,member,47
Calumet Ave & 71st St,casual,47
Indiana Ave & 103rd St,casual,47
Mozart St & Jackson Blvd,member,47
Oketo Ave & Addison St,casual,47
Plainfield & Irving Park,casual,47
Public Rack - Avers Ave & Irving Park Rd,casual,47
Public Rack - Keystone Ave & Irving Park Rd,member,47
Public Rack - Nagel & Higgins,casual,47
Stony Island Ave & South Chicago Ave,member,47
Ashland Ave & 63rd St,casual,48
Ashland Ave & 63rd St,member,48
Ashland Ave & 78th St,casual,48
Kedzie Ave & 24th St,member,48
Kedzie Ave & 66th Pl,casual,48
Kildare Ave & 47th St,casual,48
Marquette Ave & 89th St,casual,48
Public Rack - Central Ave & Pensacola Ave,member,48
Western Ave & 28th St,member,48
Central Park Ave & 24th St,member,49
Halsted St & 96th St,casual,49
Kildare Ave & Chicago Ave,casual,49
Kostner Ave & Bryn Mawr Ave,casual,49
North Ave & New England Ave,casual,49
Public Rack - Drake Ave & Leland Ave,member,49
Public Rack - Kedzie Ave & 60th St,member,49
Rockwell St & 63rd St,casual,49
Shields Ave & 43rd St,casual,49
Vernon Ave & 75th St,casual,49
Vincennes Ave & 104th St,casual,49
Central Park Ave & Douglas Blvd,casual,50
Damen Ave & 33rd St,member,50
Damen Ave & 51st St,casual,50
Halsted St & 51st St,casual,50
Marshfield Ave & 59th St,casual,50
Public Rack - Austin Ave & Wrightwood Ave,casual,50
Public Rack - Lockwood & Archer,casual,50
Public Rack - Western Blvd & 49th St,member,50
Pulaski Rd & Congress Pkwy,member,50
Ashland Ave & Garfield Blvd,casual,51
Cicero Ave & Flournoy St,casual,51
Ewing Ave & Burnham Greenway,member,51
Homewood Ave & 115th St,casual,51
Public Rack - 111th St - Morgan Park Metra,member,51
Public Rack - Harper Ave & 63rd St,casual,51
Racine Ave & 61st St,casual,51
Torrence Ave & 126th Pl,casual,51
Woodlawn & 103rd,casual,51
Cicero Ave & Quincy St,member,52
Maplewood Ave & 59th St,member,52
Public Rack - Haft Ave & Milwaukee Ave,casual,52
Public Rack - Kenton Ave & Palmer St,casual,52
Public Rack - Rockwell Ave & Touhy Ave,member,52
Homan Ave & 65th St,casual,53
La Villita Park (Albany/30th),casual,53
Public Rack - Kimball Ave & Carmen Ave,member,53
Public Rack - Milwaukee Ave & Culyer Ave,member,53
Pulaski & Ann Lurie Pl,casual,53
Western Ave & 104th St,member,53
Halsted St & 78th St,casual,54
Houston Ave & 92nd St,casual,54
Karlov Ave & Madison St,member,54
Komensky Ave & 55th St,member,54
Public Rack - Kostner Ave & Diversey Ave,casual,54
Public Rack - Natoma Ave & Bryn Mawr Ave,member,54
Stewart Ave & 83rd St,casual,54
Fairfield Ave & Pratt Blvd,casual,55
Halsted St & 69th St,casual,55
Kedzie Ave & 45th St,member,55
Kilbourn & Belden,member,55
Kilbourn Ave & Roscoe St,member,55
Public Rack - Irving Park Rd & Leclaire Ave,member,55
Torrence Ave & 106th St,casual,55
Bloomingdale Ave & Harlem Ave,casual,56
Central Ave & Chicago Ave,casual,56
Cicero Ave & Flournoy St,member,56
Dauphin Ave & 87th St,casual,56
Dauphin Ave & 87th St,member,56
Kenosha & Wellington,casual,56
Lawndale Ave & 16th St,casual,56
Nordica & Medill,casual,56
Public Rack - Walden Pkwy & 103rd St,casual,56
Albany Ave & Douglas Blvd,casual,57
Archer Ave & 43rd St,casual,57
Cottage Grove Ave & 71st St,casual,57
East End Ave & 87th St,member,57
Evans Ave & 75th St,casual,57
Public Rack - Kedvale Ave & 63rd St W,member,57
Public Rack - Milwaukee Ave & School St,casual,57
Public Rack - Pulaski & Rosemont,member,57
Summit Ave & 86th St,member,57
Artesian Ave & Marquette Rd,member,58
Avenue O & 134th St,casual,58
Greenwood Ave & 97th St,member,58
Keeler Ave & Carmen Ave,casual,58
Major Ave & Bloomingdale Ave,casual,58
Maryland Ave & 104th St,casual,58
May St & 69th St,casual,58
Public Rack - Avers Ave & Irving Park Rd,member,58
Public Rack - Menard Ave & Dakin St - midblock,casual,58
Public Rack - Wilbur Wright College South,casual,58
Cottage Grove Ave & 111th Pl,casual,59
Kedzie Ave & 104th St,casual,59
Public Rack - 63rd Pl & Narraganssett Ave,casual,59
St Louis Ave & Foster Ave,casual,59
Augusta Blvd & Laramie Ave,casual,60
Ellis Ave & 83rd St,casual,60
Lavergne Ave & Fullerton Ave,casual,60
Meade Ave & Addison St,casual,60
Karlov Ave & Madison St,casual,61
Kenton Ave & Madison St,member,61
Martin Luther King Dr & 111th St,member,61
Michigan Ave & 71st St,casual,61
Monticello Ave & Chicago Ave,casual,61
Mulligan Ave & Wellington Ave,casual,61
Big Marsh Park,member,62
Cottage Grove Ave & 83rd St,casual,62
Kildare Ave & 55th St,casual,62
Public Rack - Washtenaw Ave & Devon Ave,casual,62
Damen Ave & 59th St,casual,63
Greenwood Ave & 91st St,casual,63
Kildare & Cermak,casual,63
Orange & Addison,casual,63
Public Rack - Prairie Ave & Garfield Blvd S,casual,63
Constance Ave & 95th St,casual,64
Karlov Ave & Lawrence Ave,casual,64
Laramie Ave & Madison St,member,64
Public Rack - Calumet Ave & 51st St,member,64
W 103rd St & S Avers Ave,casual,64
Commercial Ave & 83rd St,casual,65
Stewart Ave & 63rd St,member,65
Cicero Ave & Lake St,member,66
Greenwood Ave & 79th St,casual,66
Hoyne Ave & 34th St,casual,66
Public Rack - Laramine Ave & Winnemac Ave,member,66
Public Rack - Prairie Ave & Garfield Blvd S,member,66
Pulaski Rd & Congress Pkwy,casual,66
Racine Ave & Garfield Blvd,casual,66
Troy Ave & 27th St,casual,66
Halsted St & 73rd St,casual,67
Maplewood Ave & 59th St,casual,67
Narragansett & McLean,casual,67
Public Rack - Campbell Ave & Pratt Blvd,member,67
Public Rack - Stewart Ave & 123rd St,casual,67
Kedzie Ave & Harrison St,casual,68
Keeler Ave & Carmen Ave,member,68
Narragansett & McLean,member,68
Oak Park & Wellington,casual,68
Sacramento Ave & Pershing Rd,casual,68
Springfield Ave & 47th St,casual,68
Tripp Ave & 65th St,casual,68
Burnham Greenway & 105th St,casual,69
Francisco Ave & 47th St,casual,69
Greenwood Ave & 79th St,member,69
Public Rack - Spaulding Ave & North Ave,casual,69
Lamon Ave & Chicago Ave,casual,70
Laramie Ave & Kinzie St,casual,70
Public Rack - Milwaukee Ave & School St,member,70
Martin Luther King Dr & 111th St,casual,71
Washtenaw Ave & Madison St,member,71
Central Ave & Roscoe St,member,72
Central Park Blvd & 5th Ave,casual,72
Public Rack - Ashland Ave & 91st St,member,72
Public Rack - Avers & Lawrence,casual,72
Richmond St & 59th St,casual,72
Sacramento Ave & 25th St,member,72
Stewart Ave & 63rd St,casual,72
Hegewisch Metra Station,casual,73
Pulaski Rd & Lake St,member,73
Wabash Ave & 87th St,casual,73
Western Ave & 28th St,casual,73
Ashland Ave & Pershing Rd,casual,74
Eggleston Ave & 69th St,casual,74
Kedzie Ave & Harrison St,member,74
Meade Ave & Diversey Ave,member,74
Public Rack - Lawndale Ave & 23rd St,casual,74
Kostner Ave & Lake St,casual,75
MLK Jr Dr & 83rd St,member,75
Narragansett Ave & School St,casual,75
Public Rack - Walden Pkwy & 103rd St,member,75
Public Rack - Western Ave & 96th St,member,75
Woodlawn Ave & 75th St,casual,75
California Ave & 26th St,casual,76
Central Ave & Harrison St,casual,76
Central Ave & Roscoe St,casual,76
Kilbourn Ave & Belden Ave,member,76
Meade Ave & Addison St,member,76
Public Rack - Lafayette Ave & 95th St,member,76
Public Rack - Rockwell & Division,casual,76
Rainbow Beach,member,76
Rockwell St & 57th St,casual,76
Central Park Blvd & 5th Ave,member,77
Evans Ave & 75th St,member,77
Public Rack - California Ave & Devon Ave - NE,member,77
Public Rack - Olmstead Ave & Oliphant Ave,member,77
Kildare Ave & Division St,casual,78
Latrobe Ave & Chicago Ave,member,78
Public Rack - Lawndale Ave & Diversey Ave,casual,78
Public Rack - Milwaukee Ave & Catalpa Ave,member,78
Public Rack - Milwaukee Ave & Kennedy Expy,member,78
Exchange Ave & 79th St,casual,79
Hale Ave & 107th St,member,79
Hamlin Ave & 62nd Pl,casual,79
Harlem Ave & Grace St,casual,79
Jeffery Blvd & 76th St,casual,79
Yates Blvd & 75th St,member,79
Central Ave & Lake St,member,80
Harlem & Irving Park,member,80
Phillips Ave & 79th St,member,80
Public Rack - Forest Glen & Peterson,member,80
Public Rack - Milwaukee Ave & Diversey Ave,casual,80
Vernon Ave & 107th St,casual,80
Albany Ave & 16th St,casual,81
Albany Ave & 26th St,member,81
Baltimore Ave & 87th St,casual,81
Central Ave & Madison St,casual,81
Clyde Ave & 87th St,casual,81
Fairfield Ave & 44th St,member,81
Francisco Ave & Hollywood Ave,casual,81
Long Ave & Belmont Ave,casual,81
Komensky Ave & 55th St,casual,82
Public Rack - Lafayette Ave & 95th St,casual,82
Public Rack - Lavergne & Lawrence,member,82
Western Ave & 111th St,member,82
Doty Ave & 111th St,casual,83
Hamlin Ave & Grand Ave,member,83
Karlov Ave & Armitage Ave,casual,83
Kenneth Ave & Lawrence Ave,casual,83
Kilbourn & Roscoe,member,83
Public Rack - Midway Orange Line,member,83
St Louis Ave & Foster Ave,member,83
Ashland Ave & 50th St,casual,84
California Ave & 36th St,casual,84
Stony Island Ave & 90th St,member,84
Kenosha Ave & Wellington Ave,casual,85
Public Rack - Spaulding Ave & Evergreen Ave,casual,85
Elizabeth St & 59th St,member,86
Fullerton & Monitor,casual,86
Kedzie Ave & Redfield Dr,casual,86
Mason Ave & Belmont Ave,casual,86
Public Rack - Avers & Lawrence,member,86
Central Ave & Lake St,casual,87
Public Rack - California Ave & Cortez St,casual,87
Sacramento Ave & 25th St,casual,87
California & 16th St,member,88
Halsted St & 51st St,member,88
Kilbourn Ave & Roscoe St,casual,88
Kilpatrick Ave & Grand Ave,casual,88
Public Rack - Cicero Ave & Wrightwood Ave,member,88
Public Rack - Hyde Park Blvd & 55th St,casual,88
Rockwell St & Archer Ave,casual,88
Dauphin Ave & 103rd St,casual,89
Racine Ave & Garfield Blvd,member,89
Walden Pkwy & 100th St,member,89
Houston Ave & 92nd St,member,90
Ashland Ave & McDowell Ave,casual,91
Kenneth Ave & 50th St,casual,91
Kildare Ave & 26th St,casual,91
Phillips Ave & 79th St,casual,91
Vernon Ave & 79th St,member,91
Central Ave & Parker Ave,casual,92
Halsted St & 69th St,member,92
State St & Pershing Rd,casual,92
Kilbourn & Belden,casual,93
Lamon Ave & Armitage Ave,casual,93
Prospect Sq & 91st St,member,93
St Louis Ave & 59th St,casual,93
Central Ave & Parker Ave,member,94
Central Park & Augusta Blvd,member,94
Stony Island Ave & 75th St,casual,94
Public Rack - Western Blvd & 49th St,casual,95
Rainbow Beach,casual,95
Laramie Ave & Madison St,casual,96
Public Rack - Kimbark Ave & 63rd St,member,96
Public Rack - Spaulding Ave & North Ave,member,96
Public Rack - Washington Park Ct & 51st St,casual,96
Austin Blvd & Madison St,casual,97
Kedzie Ave & Roosevelt Rd,casual,97
Kenneth Ave & Lawrence Ave,member,97
Lamon Ave & Belmont Ave,member,97
Morgan St & Pershing Rd,member,97
Shabbona Park,casual,97
Springfield Ave & North Ave,casual,97
Central Park & Augusta Blvd,casual,99
Loomis Blvd & 84th St,casual,99
Pulaski Rd & Lake St,casual,99
Austin Blvd & Madison St,member,100
Kilpatrick Ave & Grand Ave,member,100
Pulaski Rd & 60th St,casual,100
Roscoe & Harlem,casual,100
Sacramento Blvd & Fulton Ave,member,100
Steelworkers Park,casual,100
Albany Ave & 26th St,casual,101
Ashland Ave & McDowell Ave,member,101
Hale Ave & 107th St,casual,101
Public Rack - Cumberland & Catherine,casual,101
Eberhart Ave & 61st St,member,102
Francisco Ave & 47th St,member,102
Public Rack - Hamlin Ave & Montrose Ave,casual,102
Richmond St & Lincoln Ave,casual,102
Vincennes Ave & 104th St,member,102
Wabash Ave & 87th St,member,103
Kedzie Ave & 52nd St,casual,104
Kildare Ave & 47th St,member,104
Long Ave & Belden Ave,casual,104
Halsted St & 111th St,member,105
Marshfield Ave & 44th St,member,105
Western Ave & Ardmore Ave,member,105
Central Park Ave & Ohio St,casual,106
Cicero Ave & Lake St,casual,106
Damen Ave & Pershing Rd,member,106
Karlov Ave & Lawrence Ave,member,106
Halsted St & 47th Pl,casual,107
Public Rack - Wilbur Wright College South,member,107
Springfield Ave & North Ave,member,107
California Ave & Marquette Rd,casual,108
Kedzie Ave & 24th St,casual,108
MLK Jr Dr & 63rd St,member,108
Morgan St & Pershing Rd,casual,108
Public Rack - Pulaski Rd & Armitage Ave,casual,108
Stony Island Ave & 71st St,casual,108
Campbell Ave & 51st St,casual,109
Hoyne Ave & 34th St,member,109
Kostner Ave & 63rd St,casual,109
Long Ave & Belden Ave,member,109
Exchange Ave & 79th St,member,110
Public Rack - Hamlin Ave & Fullerton Ave,casual,110
Stony Island Ave & 64th St,member,110
California Ave & Granville Ave,casual,111
Perry Ave & 69th St,member,111
State St & 54th St,casual,111
State St & Pershing Rd,member,111
Komensky Ave & 31st St,casual,112
Damen Ave/Coulter St,casual,113
Sacramento Blvd & Fulton Ave,casual,113
Lavergne & Fullerton,casual,114
Greenwood Ave & 97th St,casual,115
Halsted St & 63rd St,casual,115
Public Rack - Monticello Ave & Belmont Ave,casual,115
Public Rack - Western Ave & Devon Ave,member,115
Washtenaw Ave & Peterson Ave,casual,115
Cicero Ave & Grace St,casual,116
Western Ave & 104th St,casual,116
Lawler Ave & 50th St,casual,117
Narragansett & Irving Park,casual,117
Public Rack - Hyde Park Blvd & 55th St,member,117
Kedzie Ave & Roosevelt Rd,member,118
Lockwood Ave & Wrightwood Ave,casual,118
Meade Ave & Diversey Ave,casual,118
Fairfield Ave & Roosevelt Rd,member,119
Pulaski & Ann Lurie Pl,member,119
Public Rack - Milwaukee Ave & Higgins Ave,casual,120
Western Ave & Lake St,member,120
Prospect Sq & 91st St,casual,121
Public Rack - Hamlin Ave & Montrose Ave,member,121
Kostner Ave & Wrightwood Ave,casual,122
Fairfield Ave & Roosevelt Rd,casual,123
Public Rack - Nagle Ave & Belmont Ave,member,123
Austin Blvd & Chicago Ave,casual,125
Halsted St & 78th St,member,125
Stony Island Ave & 64th St,casual,125
Buckingham Fountain (Columbus/Balbo),casual,126
Public Rack - Throop St & 58th St,member,126
Wentworth Ave & 63rd St,member,126
Griffin Museum of Science and Industry,member,128
Kedzie Ave & 57th St,casual,128
Lawndale Ave & 111th St,casual,128
St Louis Ave & Norman Bobbins Ave,casual,128
Chicago State University,member,129
Public Rack - Lowell Ave & Elston Ave,casual,129
Union Ave & Root St,member,129
Hamlin Ave & Grand Ave,casual,130
Marshfield Ave & 44th St,casual,130
Public Rack - Cumberland & Catherine,member,130
Pulaski Rd & 21st St,casual,131
Princeton Ave & Garfield Blvd,casual,133
Public Rack - Christiana Ave & Belmont Ave,casual,134
Kilpatrick Ave & Parker Ave,casual,135
Narragansett & Wrightwood,member,135
Halsted St & 63rd St,member,137
Long Ave & Belmont Ave,member,137
Virginia Ave & Catalpa Ave,member,138
Lamon Ave & Belmont Ave,casual,139
Public Rack - Champlain Ave & 65th St,member,139
Stony Island Ave & 67th St,member,139
Halsted St & 47th Pl,member,140
Kilbourn & Roscoe,casual,142
Public Rack - Harold Washington Park,member,142
Public Rack - Hollywood Park,member,143
Fairfield Ave & 44th St,casual,144
Millard Ave & 26th St,casual,144
Lawndale Ave & 30th St,casual,145
Vernon Ave & 75th St,member,145
MLK Jr Dr & 56th St,member,146
Kedzie Ave & 57th St,member,149
Burnham Greenway & 112th St,member,152
Public Rack - Milwaukee Ave & Higgins Ave,member,152
Wentworth Ave & 63rd St,casual,152
Western Ave & Lake St,casual,153
Narragansett Ave & School St,member,154
Public Rack - California Ave & Cortez St,member,154
Public Rack - Kedzie Ave & Argyle St,member,154
Kenosha & Wellington,member,156
Baltimore Ave & 87th St,member,157
Indiana Ave & 40th St,member,157
Stony Island Ave & 67th St,casual,157
Damen Ave & Coulter St,casual,158
Public Rack - Monticello Ave & Belmont Ave,member,158
Maplewood Ave & Peterson Ave,casual,159
Public Rack - Spaulding Ave & Evergreen Ave,member,159
Commercial Ave & 130th St,casual,160
Public Rack - Milwaukee Ave & Diversey Ave,member,160
Lamon Ave & Armitage Ave,member,161
Public Rack - Milwaukee Ave & Haussen Ct,member,161
Shields Ave & 43rd St,member,161
Damen Ave & Pershing Rd,casual,162
Public Rack - Milwaukee Ave & Haussen Ct,casual,162
Calumet Park,casual,164
Public Rack - Washtenaw Ave & Devon Ave,member,164
State St & 54th St,member,164
Central Park Ave & 24th St,casual,165
N Clark St & W Elm St,casual,165
Public Rack - Hyde Park Blvd & 53rd St,casual,165
Public Rack - Washtenaw Ave & Superior St,casual,165
Sacramento Blvd & Franklin Blvd,casual,165
Union Ave & Root St,casual,165
Jeffery Blvd & 71st St,casual,166
Cottage Grove Ave & 67th St,casual,167
Indiana Ave & 40th St,casual,167
